 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
263.648,316.076,36.8847,321.804,327.385,18.5258,292.727,509.297,93.6624,286.896,446.991,73.31,323.005,448.139,34.8,318.034,517.569,51.8668,239.687,585.787,27.4417,306.39,576.723,67.3126,269.485,582.871,157.003,248.679,599.794,203.763,236.211,612.772,246.238,257.598,645.051,236.505,268.194,635.52,194.68,282.209,621.52,147.364,170.311,743.349,341.257,139.452,641.959,322.421,157.494,667.851,358.407,1.25253,616.799,286.087,2.07788,626.433,315.284,45.589,625.988,313.35,46.4189,614.287,284.888
263.645,316.074,36.8819,321.805,327.385,18.5256,292.731,509.282,93.673,286.907,447.011,73.3321,323.01,448.137,34.8062,318.044,517.572,51.8778,239.697,585.797,27.4524,306.396,576.721,67.3206,269.476,582.863,157.087,248.685,599.794,203.771,236.225,612.775,246.265,257.604,645.051,236.514,268.128,635.54,194.691,282.213,621.522,147.371,170.32,743.356,341.265,139.457,641.961,322.433,157.496,667.855,358.414,1.25798,616.799,286.098,2.07446,626.427,315.298,45.5912,625.979,313.374,46.4216,614.284,284.899
263.647,316.077,36.8839,321.806,327.384,18.5292,292.739,509.282,93.6813,286.909,447.011,73.3351,323.024,448.123,34.8187,318.049,517.571,51.8847,239.727,585.828,27.444,306.404,576.721,67.3295,269.504,582.874,157.021,248.693,599.794,203.781,236.258,612.763,246.285,257.609,645.049,236.522,268.204,635.522,194.698,282.213,621.522,147.373,170.325,743.36,341.27,139.464,641.957,322.45,157.502,667.86,358.424,1.26617,616.791,286.114,2.08067,626.431,315.301,45.5924,625.948,313.356,46.4189,614.287,284.914
263.647,316.074,36.8823,321.806,327.384,18.5287,292.742,509.278,93.6877,286.912,447.012,73.3386,323.03,448.121,34.8264,318.055,517.57,51.8931,239.722,585.799,27.4649,306.415,576.711,67.3863,269.511,582.875,157.027,248.71,599.795,203.794,236.276,612.776,246.312,257.614,645.051,236.536,268.144,635.546,194.708,282.218,621.523,147.378,170.33,743.364,341.276,139.473,641.959,322.475,157.505,667.864,358.434,1.26757,616.789,286.123,2.08213,626.428,315.312,45.5873,625.953,313.371,46.422,614.283,284.929
263.649,316.076,36.8848,321.808,327.383,18.5309,292.747,509.277,93.6952,286.914,447.013,73.3413,323.034,448.119,34.8337,318.059,517.567,51.8974,239.73,585.802,27.4737,306.425,576.71,67.398,269.494,582.863,157.108,248.715,599.792,203.801,236.28,612.775,246.32,257.621,645.049,236.544,268.146,635.533,194.714,282.222,621.525,147.383,170.343,743.377,341.294,139.48,641.96,322.488,157.506,667.867,358.441,1.2686,616.789,286.131,2.08484,626.428,315.322,45.5847,625.95,313.382,46.4335,614.271,284.924
263.651,316.077,36.8856,321.809,327.382,18.5327,292.75,509.273,93.7027,286.918,447.013,73.3447,323.038,448.117,34.8395,318.065,517.567,51.9062,239.736,585.804,27.4768,306.433,576.707,67.4078,269.544,582.9,157.129,248.727,599.797,203.821,236.288,612.777,246.329,257.626,645.047,236.551,268.151,635.534,194.718,282.228,621.526,147.388,170.348,743.381,341.301,139.485,641.962,322.495,157.511,667.87,358.454,1.26976,616.784,286.143,2.08537,626.427,315.334,45.585,625.951,313.394,46.4282,614.252,284.95
263.648,316.074,36.884,321.808,327.38,18.5336,292.757,509.271,93.7112,286.918,447.013,73.3468,323.042,448.114,34.845,318.071,517.565,51.9113,239.743,585.805,27.4946,306.442,576.705,67.4191,269.505,582.862,157.122,248.734,599.795,203.834,236.293,612.772,246.338,257.63,645.044,236.562,268.153,635.532,194.724,282.233,621.528,147.393,170.355,743.386,341.304,139.488,641.963,322.509,157.513,667.873,358.463,1.26934,616.781,286.153,2.08804,626.426,315.344,45.5878,625.953,313.406,46.4513,614.231,284.951
263.65,316.076,36.8841,321.81,327.381,18.5337,292.76,509.262,93.7183,286.921,447.015,73.3496,323.045,448.112,34.8491,318.075,517.564,51.9158,239.772,585.818,27.5112,306.448,576.702,67.4281,269.51,582.861,157.128,248.74,599.792,203.843,236.299,612.771,246.351,257.634,645.041,236.569,268.166,635.537,194.746,282.251,621.537,147.425,170.359,743.397,341.308,139.49,641.961,322.519,157.517,667.881,358.471,1.26851,616.769,286.163,2.08804,626.425,315.352,45.5897,625.955,313.414,46.4566,614.228,284.96
263.648,316.072,36.8829,321.81,327.381,18.5355,292.767,509.26,93.7266,286.925,447.015,73.3537,323.05,448.109,34.8582,318.104,517.554,51.9383,239.784,585.81,27.5153,306.457,576.7,67.4384,269.511,582.852,157.121,248.745,599.789,203.853,236.303,612.767,246.362,257.645,645.031,236.583,268.174,635.54,194.763,282.27,621.539,147.438,170.365,743.391,341.319,139.486,641.972,322.557,157.519,667.886,358.476,1.26686,616.771,286.171,2.08766,626.435,315.362,45.5908,625.962,313.432,46.4521,614.224,284.967
263.65,316.075,36.8843,321.811,327.379,18.5364,292.768,509.252,93.7444,286.928,447.014,73.3554,323.053,448.106,34.8587,318.109,517.551,51.9423,239.79,585.812,27.5249,306.467,576.698,67.4518,269.513,582.85,157.127,248.75,599.785,203.863,236.313,612.764,246.376,257.65,645.017,236.6,268.178,635.537,194.763,282.274,621.54,147.442,170.375,743.417,341.325,139.493,641.973,322.581,157.523,667.879,358.49,1.26897,616.767,286.18,2.09089,626.433,315.388,45.5928,625.959,313.444,46.4591,614.221,284.989
263.65,316.074,36.8844,321.811,327.379,18.5396,292.773,509.248,93.7516,286.931,447.015,73.3588,323.059,448.106,34.8653,318.155,517.504,52.0409,239.801,585.808,27.5322,306.491,576.699,67.4741,269.527,582.866,157.161,248.754,599.782,203.873,236.318,612.76,246.386,257.652,645.009,236.612,268.179,635.534,194.77,282.278,621.539,147.445,170.378,743.42,341.331,139.498,641.975,322.589,157.524,667.884,358.5,1.27022,616.765,286.188,2.09254,626.431,315.396,45.5931,625.959,313.453,46.4599,614.22,285
263.65,316.075,36.8853,321.814,327.378,18.5417,292.793,509.248,93.7638,286.935,447.016,73.3619,323.064,448.101,34.8714,318.16,517.502,52.0464,239.816,585.81,27.5449,306.499,576.697,67.4865,269.528,582.858,157.156,248.764,599.775,203.899,236.323,612.758,246.397,257.651,644.991,236.648,268.386,635.429,194.87,282.282,621.54,147.45,170.378,743.408,341.337,139.501,641.976,322.599,157.525,667.882,358.51,1.27069,616.761,286.197,2.08823,626.418,315.419,45.5981,625.962,313.463,46.4639,614.211,285.018
263.649,316.073,36.8847,321.815,327.374,18.5446,292.799,509.244,93.7705,286.937,447.016,73.3652,323.069,448.097,34.8794,318.19,517.546,52.0835,239.829,585.815,27.5538,306.512,576.694,67.5005,269.534,582.857,157.164,248.766,599.766,203.915,236.335,612.749,246.41,257.659,644.985,236.662,268.394,635.427,194.883,282.286,621.54,147.454,170.385,743.423,341.343,139.506,641.981,322.617,157.531,667.89,358.519,1.27358,616.757,286.204,2.09115,626.418,315.428,45.5897,625.949,313.488,46.4651,614.207,285.031
263.65,316.074,36.885,321.815,327.373,18.549,292.805,509.239,93.781,286.939,447.016,73.3695,323.073,448.093,34.8867,318.195,517.545,52.0921,239.868,585.81,27.5671,306.521,576.689,67.5289,269.526,582.853,157.193,248.782,599.754,203.936,236.339,612.743,246.421,257.663,644.976,236.673,268.395,635.42,194.884,282.291,621.539,147.458,170.387,743.426,341.348,139.517,641.965,322.641,157.532,667.891,358.529,1.27157,616.753,286.228,2.09192,626.414,315.441,45.5988,625.956,313.513,46.4665,614.205,285.04
263.656,316.089,36.8951,321.817,327.372,18.55,292.81,509.235,93.7905,286.944,447.017,73.373,323.105,448.08,34.9405,318.165,517.521,52.0612,239.875,585.758,27.5435,306.53,576.686,67.5395,269.53,582.848,157.198,248.786,599.746,203.948,236.332,612.731,246.434,257.671,644.965,236.685,268.4,635.418,194.895,282.294,621.537,147.461,170.403,743.434,341.361,139.52,641.967,322.649,157.539,667.892,358.537,1.26498,616.754,286.247,2.0948,626.411,315.451,45.6059,625.955,313.531,46.4675,614.198,285.053
263.651,316.074,36.8859,321.82,327.372,18.552,292.817,509.231,93.8,286.947,447.019,73.376,323.088,448.084,34.9201,318.208,517.529,52.1026,239.88,585.757,27.5529,306.54,576.685,67.55,269.533,582.843,157.202,248.788,599.741,203.958,236.341,612.729,246.438,257.716,644.95,236.728,268.406,635.412,194.901,282.298,621.537,147.465,170.405,743.435,341.366,139.526,641.97,322.659,157.537,667.894,358.547,1.26755,616.751,286.257,2.09758,626.408,315.461,45.6107,625.954,313.548,46.4794,614.171,285.061
263.652,316.074,36.8867,321.82,327.37,18.5544,292.816,509.218,93.8408,286.949,447.019,73.3791,323.118,448.074,34.9574,318.199,517.567,52.1041,239.894,585.761,27.5634,306.565,576.671,67.5731,269.535,582.84,157.208,248.793,599.735,203.97,236.344,612.724,246.449,257.723,644.944,236.744,268.409,635.406,194.904,282.3,621.535,147.467,170.409,743.437,341.371,139.526,641.97,322.666,157.545,667.897,358.559,1.27355,616.742,286.277,2.10272,626.411,315.471,45.6087,625.952,313.56,46.4843,614.167,285.073
263.644,316.054,36.8943,321.817,327.37,18.5534,292.822,509.215,93.847,286.953,447.018,73.3814,323.126,448.07,34.9688,318.171,517.603,52.0327,239.918,585.801,27.6008,306.576,576.667,67.5845,269.537,582.834,157.214,248.796,599.728,203.979,236.346,612.718,246.459,257.728,644.936,236.756,268.412,635.394,194.913,282.295,621.533,147.476,170.412,743.438,341.377,139.532,641.967,322.675,157.548,667.899,358.568,1.27702,616.735,286.287,2.07282,626.403,315.508,45.6121,625.95,313.569,46.4903,614.165,285.093
263.654,316.074,36.8883,321.818,327.369,18.553,292.828,509.21,93.8567,286.956,447.018,73.3845,323.133,448.066,34.9744,318.177,517.603,52.0372,239.93,585.804,27.6154,306.586,576.664,67.5949,269.539,582.831,157.22,248.811,599.805,203.926,236.347,612.711,246.468,257.738,644.931,236.772,268.368,635.409,194.904,282.298,621.532,147.478,170.415,743.44,341.38,139.536,641.969,322.689,157.553,667.903,358.579,1.27882,616.732,286.298,2.07863,626.402,315.518,45.5998,625.929,313.591,46.4904,614.162,285.105
263.646,316.055,36.896,321.819,327.369,18.5532,292.837,509.197,93.8655,286.966,447.016,73.3892,323.138,448.065,34.9802,318.211,517.568,52.1159,239.941,585.798,27.6208,306.593,576.661,67.6025,269.542,582.826,157.225,248.812,599.801,203.931,236.352,612.708,246.476,257.745,644.891,236.785,268.372,635.4,194.913,282.3,621.529,147.479,170.418,743.44,341.385,139.537,641.968,322.696,157.556,667.904,358.589,1.28038,616.721,286.322,2.11307,626.402,315.503,45.6004,625.926,313.601,46.491,614.153,285.117
263.662,316.089,36.8982,321.82,327.368,18.5568,292.844,509.193,93.8751,286.968,447.015,73.3916,323.143,448.063,34.9815,318.187,517.601,52.049,239.949,585.76,27.6434,306.602,576.657,67.6114,269.546,582.823,157.232,248.815,599.799,203.936,236.353,612.704,246.486,257.749,644.885,236.794,268.401,635.42,194.97,282.305,621.529,147.483,170.42,743.441,341.388,139.543,641.964,322.706,157.561,667.908,358.595,1.28085,616.708,286.335,2.10383,626.395,315.551,45.6014,625.924,313.612,46.4965,614.146,285.126
263.663,316.09,36.9003,321.819,327.369,18.555,292.859,509.194,93.8875,286.976,447.017,73.4019,323.154,448.055,34.9795,318.2,517.598,52.0667,239.957,585.756,27.6441,306.611,576.656,67.6215,269.543,582.816,157.238,248.846,599.786,203.952,236.357,612.699,246.493,257.757,644.879,236.806,268.388,635.387,194.935,282.306,621.521,147.491,170.443,743.451,341.393,139.525,641.961,322.736,157.564,667.909,358.603,1.28364,616.702,286.348,2.09663,626.392,315.569,45.6045,625.921,313.625,46.4996,614.136,285.149
263.657,316.075,36.8902,321.823,327.367,18.5568,292.865,509.191,93.8926,286.981,447.018,73.4047,323.157,448.05,34.9816,318.206,517.597,52.0725,239.967,585.77,27.6571,306.623,576.65,67.6219,269.546,582.813,157.243,248.848,599.784,203.956,236.361,612.697,246.5,257.755,644.874,236.806,268.425,635.41,194.996,282.311,621.52,147.494,170.454,743.443,341.407,139.533,641.964,322.754,157.568,667.912,358.611,1.28433,616.694,286.36,2.09434,626.394,315.589,45.6136,625.913,313.637,46.5035,614.132,285.158
263.658,316.073,36.8893,321.823,327.367,18.5571,292.872,509.189,93.8992,286.984,447.019,73.4083,323.163,448.048,34.9851,318.183,517.555,52.0495,239.98,585.771,27.6637,306.624,576.662,67.6529,269.55,582.81,157.249,248.852,599.784,203.96,236.364,612.692,246.507,257.758,644.869,236.812,268.429,635.406,195.003,282.315,621.518,147.498,170.457,743.445,341.41,139.539,641.962,322.763,157.574,667.914,358.622,1.29292,616.688,286.37,2.09732,626.385,315.6,45.6133,625.906,313.649,46.5089,614.129,285.167
263.655,316.072,36.9082,321.823,327.368,18.5577,292.879,509.187,93.9033,286.988,447.018,73.4097,323.17,448.046,34.9918,318.187,517.553,52.0538,239.998,585.803,27.7171,306.64,576.646,67.6382,269.549,582.807,157.254,248.857,599.783,203.966,236.368,612.691,246.515,257.763,644.865,236.821,268.434,635.403,195.011,282.319,621.515,147.498,170.453,743.457,341.403,139.563,641.969,322.749,157.579,667.911,358.662,1.28535,616.658,286.395,2.09865,626.383,315.608,45.6179,625.905,313.66,46.5099,614.122,285.18
263.66,316.075,36.8913,321.824,327.366,18.5601,292.884,509.184,93.9081,286.99,447.018,73.4123,323.176,448.043,34.9965,318.21,517.552,52.0735,240.007,585.805,27.7219,306.639,576.66,67.6656,269.552,582.805,157.257,248.861,599.78,203.972,236.373,612.687,246.521,257.767,644.861,236.83,268.439,635.401,195.02,282.322,621.515,147.503,170.465,743.447,341.419,139.547,641.964,322.779,157.587,667.927,358.676,1.29197,616.65,286.411,2.03499,626.451,315.72,45.6175,625.901,313.668,46.5113,614.114,285.188
263.651,316.057,36.8995,321.826,327.365,18.5626,292.894,509.185,93.9231,286.909,446.986,73.5439,323.181,448.042,35.0027,318.216,517.551,52.0801,240.013,585.803,27.7246,306.656,576.633,67.6413,269.557,582.804,157.267,248.86,599.684,204.032,236.375,612.685,246.528,257.803,644.852,236.868,268.444,635.398,195.026,282.324,621.515,147.504,170.465,743.449,341.42,139.55,641.962,322.79,157.581,667.933,358.694,1.29279,616.647,286.436,2.03723,626.446,315.731,45.6196,625.902,313.681,46.5159,614.101,285.207
263.659,316.074,36.8908,321.824,327.366,18.5602,292.901,509.183,93.9288,286.994,447.02,73.4191,323.199,448.06,35.0351,318.219,517.551,52.0805,240.016,585.802,27.731,306.649,576.659,67.6763,269.56,582.804,157.271,248.867,599.682,204.039,236.381,612.683,246.534,257.806,644.848,236.871,268.448,635.395,195.033,282.328,621.514,147.508,170.468,743.451,341.424,139.553,641.955,322.806,157.587,667.936,358.702,1.27237,616.642,286.477,2.04492,626.438,315.746,45.6222,625.896,313.689,46.5194,614.094,285.219
263.667,316.092,36.9028,321.825,327.364,18.5619,292.905,509.182,93.9319,286.915,446.986,73.5494,323.17,448.068,34.9996,318.224,517.551,52.0857,240.065,585.758,27.736,306.654,576.66,67.6807,269.588,582.758,157.359,248.873,599.679,204.043,236.385,612.672,246.538,257.81,644.848,236.877,268.457,635.396,195.04,282.348,621.519,147.539,170.471,743.452,341.428,139.556,641.954,322.814,157.589,667.939,358.71,1.27293,616.635,286.49,2.04874,626.432,315.757,45.6256,625.896,313.701,46.5294,614.078,285.219
263.65,316.057,36.8993,321.825,327.364,18.561,292.909,509.18,93.9374,286.918,446.985,73.5525,323.172,448.067,35.0045,318.234,517.563,52.1059,240.073,585.758,27.7418,306.657,576.66,67.6872,269.593,582.758,157.364,248.885,599.664,204.051,236.393,612.671,246.547,257.812,644.845,236.88,268.46,635.396,195.047,282.351,621.519,147.544,170.472,743.453,341.43,139.562,641.967,322.836,157.594,667.941,358.718,1.2774,616.625,286.501,2.04836,626.425,315.766,45.6512,625.891,313.73,46.5246,614.086,285.246
263.65,316.057,36.8996,321.826,327.364,18.5614,292.912,509.182,93.94,287.001,447.022,73.4237,323.173,448.065,35.0037,318.237,517.563,52.1086,240.083,585.774,27.7601,306.66,576.66,67.6895,269.603,582.762,157.365,248.891,599.662,204.056,236.398,612.67,246.551,257.815,644.844,236.884,268.464,635.397,195.049,282.375,621.521,147.556,170.474,743.455,341.433,139.572,641.967,322.854,157.617,667.95,358.747,1.29151,616.632,286.508,2.05025,626.421,315.773,45.6521,625.886,313.737,46.5278,614.058,285.265
263.658,316.074,36.9112,321.826,327.364,18.5629,292.914,509.181,93.9425,286.921,446.986,73.5552,323.173,448.067,35.0065,318.24,517.565,52.1116,240.089,585.775,27.7618,306.663,576.658,67.6893,269.608,582.762,157.369,248.894,599.664,204.059,236.404,612.67,246.555,257.817,644.844,236.888,268.467,635.397,195.054,282.376,621.525,147.559,170.477,743.457,341.437,139.575,641.966,322.864,157.62,667.951,358.755,1.30487,616.599,286.543,2.05271,626.414,315.784,45.6534,625.879,313.748,46.53,614.052,285.273
263.65,316.056,36.899,321.825,327.362,18.5623,292.914,509.178,93.9419,286.919,446.985,73.5571,323.212,448.057,35.0482,318.24,517.564,52.1103,240.09,585.772,27.7672,306.664,576.66,67.6927,269.603,582.757,157.37,248.898,599.661,204.06,236.408,612.669,246.561,257.82,644.843,236.89,268.47,635.398,195.057,282.38,621.524,147.562,170.478,743.457,341.441,139.577,641.967,322.87,157.625,667.952,358.761,1.31735,616.607,286.547,2.05275,626.404,315.789,45.6614,625.854,313.754,46.5367,614.041,285.28
263.649,316.056,36.8988,321.826,327.364,18.5638,292.916,509.179,93.9457,286.922,446.985,73.5577,323.174,448.062,35.0079,318.24,517.563,52.1113,240.095,585.765,27.7581,306.666,576.661,67.6956,269.612,582.763,157.373,248.903,599.659,204.065,236.413,612.671,246.564,257.821,644.842,236.893,268.472,635.4,195.058,282.383,621.527,147.565,170.479,743.456,341.444,139.583,641.962,322.879,157.629,667.953,358.767,1.31816,616.599,286.559,2.05751,626.397,315.81,45.6726,625.85,313.773,46.5408,614.024,285.282
263.659,316.074,36.8911,321.827,327.364,18.563,292.916,509.178,93.9465,286.922,446.984,73.5592,323.177,448.064,35.0104,318.243,517.563,52.1145,240.094,585.766,27.7666,306.669,576.659,67.6955,269.615,582.762,157.373,248.907,599.659,204.07,236.419,612.672,246.569,257.834,644.855,236.911,268.475,635.401,195.064,282.387,621.528,147.567,170.481,743.456,341.448,139.586,641.964,322.885,157.633,667.952,358.775,1.32135,616.586,286.57,2.05978,626.392,315.817,45.6761,625.84,313.783,46.5424,614.019,285.29
263.658,316.075,36.8909,321.825,327.363,18.5642,292.913,509.178,93.9488,286.924,446.986,73.5605,323.177,448.063,35.0114,318.243,517.563,52.1173,240.097,585.764,27.7676,306.669,576.661,67.701,269.617,582.762,157.374,248.912,599.761,204.012,236.423,612.667,246.572,257.833,644.851,236.91,268.476,635.402,195.062,282.385,621.529,147.568,170.484,743.454,341.45,139.589,641.962,322.89,157.636,667.953,358.781,1.33184,616.58,286.585,2.06689,626.386,315.834,45.6646,625.829,313.793,46.4708,614.069,285.419
263.656,316.072,36.909,321.825,327.363,18.564,292.912,509.178,93.9489,286.922,446.986,73.5612,323.178,448.06,35.0136,318.243,517.564,52.1172,240.102,585.771,27.7733,306.671,576.658,67.6972,269.626,582.766,157.392,248.913,599.656,204.073,236.428,612.666,246.576,257.838,644.843,236.906,268.478,635.401,195.063,282.386,621.53,147.571,170.486,743.453,341.453,139.593,641.96,322.896,157.642,667.952,358.786,1.33098,616.571,286.596,2.06916,626.382,315.843,45.6713,625.827,313.807,46.4738,614.055,285.425
263.65,316.057,36.9001,321.827,327.363,18.5649,292.911,509.176,93.9492,286.921,446.985,73.5602,323.178,448.061,35.0155,318.244,517.563,52.117,240.099,585.765,27.7706,306.672,576.658,67.7005,269.628,582.765,157.393,248.924,599.652,204.082,236.445,612.667,246.582,257.84,644.84,236.907,268.477,635.399,195.065,282.385,621.529,147.569,170.486,743.451,341.456,139.597,641.955,322.903,157.645,667.95,358.792,1.33849,616.559,286.607,2.07181,626.376,315.85,45.6714,625.82,313.815,46.5648,613.999,285.355
263.649,316.056,36.899,321.826,327.363,18.5654,292.909,509.176,93.9496,286.92,446.985,73.5615,323.177,448.06,35.0155,318.244,517.563,52.1176,240.1,585.761,27.7686,306.674,576.661,67.7037,269.675,582.801,157.406,248.928,599.632,204.085,236.448,612.663,246.584,257.842,644.838,236.91,268.478,635.398,195.066,282.385,621.53,147.57,170.487,743.448,341.459,139.599,641.943,322.911,157.648,667.948,358.797,1.33836,616.544,286.616,2.13013,626.291,315.761,45.6711,625.816,313.825,46.4967,614.037,285.456
263.655,316.072,36.9082,321.826,327.362,18.5654,292.914,509.177,93.9593,286.921,446.982,73.5622,323.178,448.06,35.0177,318.243,517.563,52.1184,240.096,585.773,27.7813,306.674,576.66,67.7048,269.63,582.763,157.397,248.93,599.631,204.086,236.458,612.66,246.591,257.844,644.834,236.912,268.478,635.397,195.067,282.385,621.528,147.569,170.492,743.442,341.464,139.602,641.937,322.918,157.65,667.946,358.806,1.3411,616.535,286.631,2.07757,626.363,315.864,45.6705,625.807,313.835,46.4971,614.025,285.471
263.657,316.075,36.8907,321.825,327.363,18.5658,292.908,509.176,93.9518,286.919,446.983,73.5616,323.171,448.061,35.0126,318.244,517.562,52.1184,240.097,585.767,27.7798,306.582,576.672,67.6981,269.622,582.757,157.38,248.93,599.628,204.089,236.465,612.628,246.593,257.844,644.832,236.913,268.48,635.395,195.066,282.384,621.529,147.569,170.493,743.431,341.466,139.615,641.937,322.957,157.677,667.932,358.821,1.34283,616.522,286.639,2.13089,626.275,315.777,45.6702,625.795,313.841,46.5035,614.015,285.482
